class_name,query
canh_chua_co_ca,canh chua cá món ăn
canh_chua_co_ca,canh chua cá hú
canh_chua_co_ca,canh chua cá lóc
canh_chua_co_ca,canh chua cá bông lau
canh_chua_co_ca,canh chua đầu cá
canh_chua_co_ca,Vietnamese sour fish soup food photo
canh_chua_co_ca,Vietnamese tamarind fish soup
canh_chua_khong_ca,canh chua chay
canh_chua_khong_ca,canh chua rau
canh_chua_khong_ca,canh chua rau muống
canh_chua_khong_ca,canh chua bạc hà cà chua
canh_chua_khong_ca,canh chua đậu hũ
canh_chua_khong_ca,canh chua thơm cà chua
canh_chua_khong_ca,Vietnamese sour vegetable soup food photo
