class_name,query
canh_rau,canh cải xanh món ăn
canh_rau,canh cải ngọt món ăn
canh_rau,canh rau cải trong tô
canh_rau,canh cải xanh không cá
canh_rau,canh cải ngọt không cá
canh_rau,canh rau muống món ăn
canh_rau,canh rau muống trong tô
canh_rau,canh rau muống cà chua
canh_rau,canh rau muống không cá
canh_rau,Vietnamese mustard greens soup
canh_rau,Vietnamese water spinach soup
canh_rau,tô canh cải xanh
canh_rau,tô canh rau muống
canh_rau,rau muống luộc món ăn
canh_rau,cải luộc món ăn
canh_rau,đậu que luộc món ăn
canh_rau,lagim luộc món ăn
canh_rau,rau củ luộc món ăn
rau_xao,đậu que xào tỏi món ăn
rau_xao,đậu que xào chay
rau_xao,đậu que xào cà rốt
rau_xao,đậu que xào thịt món ăn
rau_xao,đậu đũa xào tỏi món ăn
rau_xao,đậu đũa xào chay
rau_xao,củ sắn xào cà rốt
rau_xao,củ sắn xào thịt
rau_xao,củ sắn xào chay
rau_xao,cải sắn xào món ăn
rau_xao,lagim xào món ăn
rau_xao,lagim xào tỏi
rau_xao,rau củ xào thập cẩm
rau_xao,rau xào thập cẩm món ăn
rau_xao,Vietnamese stir fried green beans
rau_xao,Vietnamese stir fried mixed vegetables
